w,sp,ep_r,RX_Probe.Height,RX_Probe.Width,RO_Probe.Height,RO_Probe.Width,TX_Probe.Height,TX_Probe.Width
7,9.2857,4.68573,0.522,8.4E-11,0.522,8.4E-11,0.328,9.7E-11
6.85718,9.2857,4.68573,0.591,8.4E-11,0.591,8.4E-11,0.244,9.65E-11
6.71432,9.2857,4.68573,0.517,8.5E-11,0.517,8.5E-11,0.325,9.7E-11
6.57146,9.2857,4.68573,0.587,8.4E-11,0.587,8.4E-11,0.234,9.65E-11
6.4286,9.2857,4.68573,0.511,8.5E-11,0.511,8.5E-11,0.323,9.7E-11
6.28574,9.2857,4.68573,0.583,8.4E-11,0.583,8.4E-11,0.23,9.65E-11
6.14288,9.2857,4.68573,0.505,8.5E-11,0.505,8.5E-11,0.324,9.7E-11
6.00002,9.2857,4.68573,0.505,8.5E-11,0.505,8.5E-11,0.326,9.7E-11
5.85716,9.2857,4.68573,0.501,8.5E-11,0.501,8.5E-11,0.327,9.7E-11
5.7143,9.2857,4.68573,0.497,8.5E-11,0.497,8.5E-11,0.332,9.7E-11
5.57144,9.2857,4.68573,0.495,8.5E-11,0.495,8.5E-11,0.333,9.65E-11
5.42858,9.2857,4.68573,0.492,8.5E-11,0.492,8.5E-11,0.335,9.65E-11
5.28572,9.2857,4.68573,0.489,8.5E-11,0.489,8.5E-11,0.341,9.65E-11
5.14286,9.2857,4.68573,0.486,8.45E-11,0.486,8.45E-11,0.346,9.65E-11
5,9.2857,4.68573,0.482,8.4E-11,0.482,8.4E-11,0.347,9.65E-11
7,8.92856,4.68573,0.521,8.6E-11,0.521,8.6E-11,0.337,9.7E-11
6.85718,8.92856,4.68573,0.592,8.4E-11,0.592,8.4E-11,0.251,9.65E-11
6.71432,8.92856,4.68573,0.517,8.5E-11,0.517,8.5E-11,0.333,9.7E-11
6.57146,8.92856,4.68573,0.588,8.4E-11,0.588,8.4E-11,0.245,9.65E-11
6.4286,8.92856,4.68573,0.513,8.6E-11,0.513,8.6E-11,0.336,9.7E-11
6.28574,8.92856,4.68573,0.511,8.6E-11,0.511,8.6E-11,0.336,9.7E-11
6.14288,8.92856,4.68573,0.508,8.6E-11,0.508,8.6E-11,0.337,9.7E-11
6.00002,8.92856,4.68573,0.504,8.5E-11,0.504,8.5E-11,0.339,9.7E-11
5.85716,8.92856,4.68573,0.503,8.5E-11,0.503,8.5E-11,0.344,9.7E-11
5.7143,8.92856,4.68573,0.5,8.5E-11,0.5,8.5E-11,0.346,9.7E-11
5.57144,8.92856,4.68573,0.495,8.5E-11,0.495,8.5E-11,0.353,9.7E-11
5.42858,8.92856,4.68573,0.493,8.45E-11,0.493,8.45E-11,0.356,9.7E-11
5.28572,8.92856,4.68573,0.489,8.4E-11,0.489,8.4E-11,0.358,9.65E-11
5.14286,8.92856,4.68573,0.486,8.5E-11,0.486,8.5E-11,0.363,9.65E-11
5,8.92856,4.68573,0.483,8.4E-11,0.483,8.4E-11,0.369,9.65E-11
7,8.57142,4.68573,0.522,8.5E-11,0.522,8.5E-11,0.349,9.8E-11
6.85718,8.57142,4.68573,0.595,8.45E-11,0.595,8.45E-11,0.261,9.65E-11
6.71432,8.57142,4.68573,0.518,8.5E-11,0.518,8.5E-11,0.348,9.8E-11
6.57146,8.57142,4.68573,0.516,8.5E-11,0.516,8.5E-11,0.351,9.8E-11
6.4286,8.57142,4.68573,0.513,8.5E-11,0.513,8.5E-11,0.349,9.8E-11
6.28574,8.57142,4.68573,0.51,8.5E-11,0.51,8.5E-11,0.353,9.8E-11
6.14288,8.57142,4.68573,0.506,8.5E-11,0.506,8.5E-11,0.356,9.75E-11
6.00002,8.57142,4.68573,0.506,8.55E-11,0.506,8.55E-11,0.358,9.7E-11
5.85716,8.57142,4.68573,0.502,8.6E-11,0.502,8.6E-11,0.364,9.7E-11
5.7143,8.57142,4.68573,0.499,8.5E-11,0.499,8.5E-11,0.369,9.7E-11
5.57144,8.57142,4.68573,0.497,8.5E-11,0.497,8.5E-11,0.372,9.7E-11
5.42858,8.57142,4.68573,0.492,8.5E-11,0.492,8.5E-11,0.375,9.7E-11
5.28572,8.57142,4.68573,0.49,8.6E-11,0.49,8.6E-11,0.38,9.7E-11
5.14286,8.57142,4.68573,0.487,8.5E-11,0.487,8.5E-11,0.382,9.7E-11
5,8.57142,4.68573,0.482,8.5E-11,0.482,8.5E-11,0.384,9.65E-11
7,8.21428,4.68573,0.597,8.45E-11,0.597,8.45E-11,0.278,9.7E-11
6.85718,8.21428,4.68573,0.519,8.6E-11,0.519,8.6E-11,0.362,9.8E-11
6.71432,8.21428,4.68573,0.594,8.5E-11,0.594,8.5E-11,0.278,9.65E-11
6.57146,8.21428,4.68573,0.516,8.5E-11,0.516,8.5E-11,0.365,9.8E-11
6.4286,8.21428,4.68573,0.589,8.5E-11,0.589,8.5E-11,0.284,9.65E-11
6.28574,8.21428,4.68573,0.511,8.6E-11,0.511,8.6E-11,0.369,9.8E-11
6.14288,8.21428,4.68573,0.508,8.5E-11,0.508,8.5E-11,0.374,9.8E-11
6.00002,8.21428,4.68573,0.505,8.5E-11,0.505,8.5E-11,0.379,9.8E-11
5.85716,8.21428,4.68573,0.503,8.5E-11,0.503,8.5E-11,0.386,9.75E-11
5.7143,8.21428,4.68573,0.499,8.6E-11,0.499,8.6E-11,0.386,9.7E-11
5.57144,8.21428,4.68573,0.497,8.6E-11,0.497,8.6E-11,0.391,9.7E-11
5.42858,8.21428,4.68573,0.493,8.5E-11,0.493,8.5E-11,0.396,9.7E-11
5.28572,8.21428,4.68573,0.49,8.5E-11,0.49,8.5E-11,0.398,9.7E-11
5.14286,8.21428,4.68573,0.485,8.5E-11,0.485,8.5E-11,0.403,9.7E-11
5,8.21428,4.68573,0.482,8.5E-11,0.482,8.5E-11,0.405,9.65E-11
7,7.85714,4.68573,0.599,8.6E-11,0.599,8.6E-11,0.294,9.7E-11
6.85718,7.85714,4.68573,0.521,8.6E-11,0.521,8.6E-11,0.378,9.8E-11
6.71432,7.85714,4.68573,0.595,8.4E-11,0.595,8.4E-11,0.297,9.7E-11
6.57146,7.85714,4.68573,0.515,8.6E-11,0.515,8.6E-11,0.384,9.8E-11
6.4286,7.85714,4.68573,0.513,8.6E-11,0.513,8.6E-11,0.386,9.8E-11
6.28574,7.85714,4.68573,0.512,8.6E-11,0.512,8.6E-11,0.389,9.8E-11
6.14288,7.85714,4.68573,0.508,8.55E-11,0.508,8.55E-11,0.396,9.8E-11
6.00002,7.85714,4.68573,0.505,8.5E-11,0.505,8.5E-11,0.4,9.8E-11
5.85716,7.85714,4.68573,0.501,8.55E-11,0.501,8.55E-11,0.405,9.8E-11
5.7143,7.85714,4.68573,0.499,8.6E-11,0.499,8.6E-11,0.407,9.8E-11
5.57144,7.85714,4.68573,0.495,8.6E-11,0.495,8.6E-11,0.41,9.75E-11
5.42858,7.85714,4.68573,0.492,8.5E-11,0.492,8.5E-11,0.414,9.7E-11
5.28572,7.85714,4.68573,0.489,8.5E-11,0.489,8.5E-11,0.416,9.7E-11
5.14286,7.85714,4.68573,0.485,8.6E-11,0.485,8.6E-11,0.422,9.7E-11
5,7.85714,4.68573,0.481,8.5E-11,0.481,8.5E-11,0.421,9.7E-11
7,7.5,4.68573,0.601,8.55E-11,0.601,8.55E-11,0.316,9.75E-11
6.85718,7.5,4.68573,0.521,8.6E-11,0.521,8.6E-11,0.396,9.8E-11
6.71432,7.5,4.68573,0.518,8.6E-11,0.518,8.6E-11,0.402,9.8E-11
6.57146,7.5,4.68573,0.516,8.6E-11,0.516,8.6E-11,0.406,9.8E-11
6.4286,7.5,4.68573,0.513,8.6E-11,0.513,8.6E-11,0.409,9.8E-11
6.28574,7.5,4.68573,0.51,8.6E-11,0.51,8.6E-11,0.413,9.8E-11
6.14288,7.5,4.68573,0.508,8.6E-11,0.508,8.6E-11,0.419,9.8E-11
6.00002,7.5,4.68573,0.504,8.6E-11,0.504,8.6E-11,0.423,9.8E-11
5.85716,7.5,4.68573,0.502,8.55E-11,0.502,8.55E-11,0.424,9.8E-11
5.7143,7.5,4.68573,0.498,8.6E-11,0.498,8.6E-11,0.43,9.8E-11
5.57144,7.5,4.68573,0.495,8.6E-11,0.495,8.6E-11,0.432,9.8E-11
5.42858,7.5,4.68573,0.492,8.6E-11,0.492,8.6E-11,0.434,9.75E-11
5.28572,7.5,4.68573,0.488,8.55E-11,0.488,8.55E-11,0.438,9.7E-11
5.14286,7.5,4.68573,0.485,8.6E-11,0.485,8.6E-11,0.437,9.7E-11
5,7.5,4.68573,0.479,8.55E-11,0.479,8.55E-11,0.437,9.7E-11
7,12.5,4.6143,0.51,8.2E-11,0.51,8.2E-11,0.264,9.6E-11
6.85718,12.5,4.6143,0.506,8.2E-11,0.506,8.2E-11,0.26,9.6E-11
6.71432,12.5,4.6143,0.503,8.2E-11,0.503,8.2E-11,0.256,9.6E-11
6.57146,12.5,4.6143,0.502,8.25E-11,0.502,8.25E-11,0.249,9.6E-11
6.4286,12.5,4.6143,0.499,8.2E-11,0.499,8.2E-11,0.245,9.6E-11
6.28574,12.5,4.6143,0.496,8.2E-11,0.496,8.2E-11,0.24,9.6E-11
6.14288,12.5,4.6143,0.493,8.2E-11,0.493,8.2E-11,0.239,9.6E-11
6.00002,12.5,4.6143,0.489,8.2E-11,0.489,8.2E-11,0.236,9.6E-11
5.85716,12.5,4.6143,0.486,8.2E-11,0.486,8.2E-11,0.234,9.6E-11
5.7143,12.5,4.6143,0.486,8.2E-11,0.486,8.2E-11,0.23,9.6E-11
5.57144,12.5,4.6143,0.482,8.2E-11,0.482,8.2E-11,0.228,9.6E-11
5.42858,12.5,4.6143,0.478,8.2E-11,0.478,8.2E-11,0.229,9.6E-11
5.28572,12.5,4.6143,0.476,8.3E-11,0.476,8.3E-11,0.228,9.6E-11
5.14286,12.5,4.6143,0.539,8.1E-11,0.539,8.1E-11,0.128,9.6E-11
5,12.5,4.6143,0.47,8.2E-11,0.47,8.2E-11,0.23,9.6E-11
7,12.14282,4.6143,0.511,8.2E-11,0.511,8.2E-11,0.266,9.65E-11
6.85718,12.14282,4.6143,0.509,8.2E-11,0.509,8.2E-11,0.261,9.65E-11
6.71432,12.14282,4.6143,0.507,8.2E-11,0.507,8.2E-11,0.255,9.65E-11
6.57146,12.14282,4.6143,0.504,8.2E-11,0.504,8.2E-11,0.253,9.65E-11
6.4286,12.14282,4.6143,0.5,8.2E-11,0.5,8.2E-11,0.253,9.65E-11
6.28574,12.14282,4.6143,0.498,8.2E-11,0.498,8.2E-11,0.248,9.6E-11
6.14288,12.14282,4.6143,0.496,8.2E-11,0.496,8.2E-11,0.242,9.6E-11
6.00002,12.14282,4.6143,0.492,8.2E-11,0.492,8.2E-11,0.241,9.6E-11
5.85716,12.14282,4.6143,0.489,8.2E-11,0.489,8.2E-11,0.238,9.6E-11
5.7143,12.14282,4.6143,0.486,8.2E-11,0.486,8.2E-11,0.238,9.6E-11
5.57144,12.14282,4.6143,0.483,8.3E-11,0.483,8.3E-11,0.237,9.6E-11
5.42858,12.14282,4.6143,0.48,8.3E-11,0.48,8.3E-11,0.237,9.6E-11
5.28572,12.14282,4.6143,0.477,8.25E-11,0.477,8.25E-11,0.237,9.6E-11
5.14286,12.14282,4.6143,0.476,8.2E-11,0.476,8.2E-11,0.238,9.6E-11
5,12.14282,4.6143,0.54,8.1E-11,0.54,8.1E-11,0.139,9.6E-11
7,11.78568,4.6143,0.512,8.3E-11,0.512,8.3E-11,0.269,9.65E-11
6.85718,11.78568,4.6143,0.51,8.3E-11,0.51,8.3E-11,0.264,9.65E-11
6.71432,11.78568,4.6143,0.507,8.3E-11,0.507,8.3E-11,0.262,9.65E-11
6.57146,11.78568,4.6143,0.504,8.3E-11,0.504,8.3E-11,0.26,9.65E-11
6.4286,11.78568,4.6143,0.502,8.3E-11,0.502,8.3E-11,0.255,9.65E-11
6.28574,11.78568,4.6143,0.499,8.3E-11,0.499,8.3E-11,0.251,9.65E-11
6.14288,11.78568,4.6143,0.497,8.3E-11,0.497,8.3E-11,0.251,9.65E-11
6.00002,11.78568,4.6143,0.494,8.3E-11,0.494,8.3E-11,0.249,9.65E-11
5.85716,11.78568,4.6143,0.491,8.3E-11,0.491,8.3E-11,0.247,9.65E-11
5.7143,11.78568,4.6143,0.489,8.3E-11,0.489,8.3E-11,0.246,9.65E-11
5.57144,11.78568,4.6143,0.485,8.3E-11,0.485,8.3E-11,0.245,9.6E-11
5.42858,11.78568,4.6143,0.481,8.3E-11,0.481,8.3E-11,0.245,9.6E-11
5.28572,11.78568,4.6143,0.549,8.15E-11,0.549,8.15E-11,0.148,9.6E-11
5.14286,11.78568,4.6143,0.476,8.2E-11,0.476,8.2E-11,0.251,9.6E-11
5,11.78568,4.6143,0.544,8.1E-11,0.544,8.1E-11,0.156,9.6E-11
7,11.42854,4.6143,0.515,8.3E-11,0.515,8.3E-11,0.273,9.65E-11
6.85718,11.42854,4.6143,0.512,8.3E-11,0.512,8.3E-11,0.273,9.65E-11
6.71432,11.42854,4.6143,0.51,8.3E-11,0.51,8.3E-11,0.266,9.65E-11
6.57146,11.42854,4.6143,0.507,8.3E-11,0.507,8.3E-11,0.263,9.65E-11
6.4286,11.42854,4.6143,0.505,8.3E-11,0.505,8.3E-11,0.262,9.65E-11
6.28574,11.42854,4.6143,0.502,8.3E-11,0.502,8.3E-11,0.26,9.65E-11
6.14288,11.42854,4.6143,0.499,8.3E-11,0.499,8.3E-11,0.258,9.65E-11
6.00002,11.42854,4.6143,0.496,8.3E-11,0.496,8.3E-11,0.257,9.65E-11
5.85716,11.42854,4.6143,0.493,8.3E-11,0.493,8.3E-11,0.256,9.65E-11
5.7143,11.42854,4.6143,0.489,8.3E-11,0.489,8.3E-11,0.255,9.65E-11
5.57144,11.42854,4.6143,0.488,8.3E-11,0.488,8.3E-11,0.258,9.65E-11
5.42858,11.42854,4.6143,0.485,8.25E-11,0.485,8.25E-11,0.259,9.6E-11
5.28572,11.42854,4.6143,0.482,8.25E-11,0.482,8.25E-11,0.261,9.6E-11
5.14286,11.42854,4.6143,0.477,8.3E-11,0.477,8.3E-11,0.264,9.6E-11
5,11.42854,4.6143,0.475,8.25E-11,0.475,8.25E-11,0.267,9.6E-11
7,11.0714,4.6143,0.514,8.4E-11,0.514,8.4E-11,0.279,9.65E-11
6.85718,11.0714,4.6143,0.512,8.4E-11,0.512,8.4E-11,0.273,9.65E-11
6.71432,11.0714,4.6143,0.51,8.35E-11,0.51,8.35E-11,0.272,9.65E-11
6.57146,11.0714,4.6143,0.507,8.3E-11,0.507,8.3E-11,0.271,9.65E-11
6.4286,11.0714,4.6143,0.505,8.35E-11,0.505,8.35E-11,0.27,9.65E-11
6.28574,11.0714,4.6143,0.502,8.4E-11,0.502,8.4E-11,0.269,9.65E-11
6.14288,11.0714,4.6143,0.499,8.3E-11,0.499,8.3E-11,0.266,9.65E-11
6.00002,11.0714,4.6143,0.497,8.3E-11,0.497,8.3E-11,0.262,9.65E-11
5.85716,11.0714,4.6143,0.494,8.4E-11,0.494,8.4E-11,0.267,9.65E-11
5.7143,11.0714,4.6143,0.491,8.35E-11,0.491,8.35E-11,0.269,9.65E-11
5.57144,11.0714,4.6143,0.489,8.3E-11,0.489,8.3E-11,0.269,9.65E-11
5.42858,11.0714,4.6143,0.557,8.2E-11,0.557,8.2E-11,0.172,9.6E-11
5.28572,11.0714,4.6143,0.482,8.3E-11,0.482,8.3E-11,0.275,9.65E-11
5.14286,11.0714,4.6143,0.552,8.2E-11,0.552,8.2E-11,0.186,9.6E-11
5,11.0714,4.6143,0.476,8.3E-11,0.476,8.3E-11,0.283,9.65E-11
7,10.71426,4.6143,0.515,8.35E-11,0.515,8.35E-11,0.285,9.65E-11
6.85718,10.71426,4.6143,0.513,8.4E-11,0.513,8.4E-11,0.282,9.65E-11
6.71432,10.71426,4.6143,0.511,8.4E-11,0.511,8.4E-11,0.28,9.65E-11
6.57146,10.71426,4.6143,0.509,8.4E-11,0.509,8.4E-11,0.278,9.65E-11
6.4286,10.71426,4.6143,0.507,8.4E-11,0.507,8.4E-11,0.276,9.65E-11
6.28574,10.71426,4.6143,0.503,8.4E-11,0.503,8.4E-11,0.273,9.65E-11
6.14288,10.71426,4.6143,0.5,8.4E-11,0.5,8.4E-11,0.276,9.65E-11
6.00002,10.71426,4.6143,0.497,8.4E-11,0.497,8.4E-11,0.277,9.65E-11
5.85716,10.71426,4.6143,0.497,8.3E-11,0.497,8.3E-11,0.277,9.65E-11
5.7143,10.71426,4.6143,0.494,8.3E-11,0.494,8.3E-11,0.282,9.65E-11
5.57144,10.71426,4.6143,0.49,8.3E-11,0.49,8.3E-11,0.283,9.65E-11
5.42858,10.71426,4.6143,0.487,8.3E-11,0.487,8.3E-11,0.287,9.65E-11
5.28572,10.71426,4.6143,0.484,8.3E-11,0.484,8.3E-11,0.292,9.65E-11
5.14286,10.71426,4.6143,0.553,8.2E-11,0.553,8.2E-11,0.203,9.6E-11
5,10.71426,4.6143,0.477,8.3E-11,0.477,8.3E-11,0.3,9.65E-11
7,10.35712,4.6143,0.517,8.45E-11,0.517,8.45E-11,0.291,9.65E-11
6.85718,10.35712,4.6143,0.515,8.45E-11,0.515,8.45E-11,0.289,9.65E-11
6.71432,10.35712,4.6143,0.512,8.45E-11,0.512,8.45E-11,0.288,9.65E-11
6.57146,10.35712,4.6143,0.51,8.4E-11,0.51,8.4E-11,0.285,9.65E-11
6.4286,10.35712,4.6143,0.507,8.45E-11,0.507,8.45E-11,0.287,9.65E-11
6.28574,10.35712,4.6143,0.505,8.45E-11,0.505,8.45E-11,0.287,9.65E-11
6.14288,10.35712,4.6143,0.502,8.35E-11,0.502,8.35E-11,0.287,9.65E-11
6.00002,10.35712,4.6143,0.5,8.35E-11,0.5,8.35E-11,0.287,9.65E-11
5.85716,10.35712,4.6143,0.495,8.35E-11,0.495,8.35E-11,0.293,9.65E-11
5.7143,10.35712,4.6143,0.494,8.4E-11,0.494,8.4E-11,0.293,9.65E-11
5.57144,10.35712,4.6143,0.491,8.4E-11,0.491,8.4E-11,0.3,9.65E-11
5.42858,10.35712,4.6143,0.489,8.3E-11,0.489,8.3E-11,0.303,9.65E-11
5.28572,10.35712,4.6143,0.559,8.2E-11,0.559,8.2E-11,0.217,9.6E-11
5.14286,10.35712,4.6143,0.482,8.3E-11,0.482,8.3E-11,0.31,9.65E-11
5,10.35712,4.6143,0.552,8.2E-11,0.552,8.2E-11,0.228,9.6E-11
7,9.99998,4.6143,0.518,8.4E-11,0.518,8.4E-11,0.298,9.65E-11
6.85718,9.99998,4.6143,0.516,8.4E-11,0.516,8.4E-11,0.299,9.65E-11
6.71432,9.99998,4.6143,0.514,8.4E-11,0.514,8.4E-11,0.297,9.65E-11
6.57146,9.99998,4.6143,0.511,8.4E-11,0.511,8.4E-11,0.296,9.65E-11
6.4286,9.99998,4.6143,0.509,8.4E-11,0.509,8.4E-11,0.298,9.65E-11
6.28574,9.99998,4.6143,0.506,8.4E-11,0.506,8.4E-11,0.298,9.65E-11
6.14288,9.99998,4.6143,0.504,8.4E-11,0.504,8.4E-11,0.3,9.65E-11
6.00002,9.99998,4.6143,0.5,8.4E-11,0.5,8.4E-11,0.303,9.65E-11
5.85716,9.99998,4.6143,0.499,8.4E-11,0.499,8.4E-11,0.309,9.65E-11
5.7143,9.99998,4.6143,0.496,8.4E-11,0.496,8.4E-11,0.312,9.65E-11
5.57144,9.99998,4.6143,0.565,8.3E-11,0.565,8.3E-11,0.227,9.6E-11
5.42858,9.99998,4.6143,0.49,8.4E-11,0.49,8.4E-11,0.32,9.65E-11
5.28572,9.99998,4.6143,0.561,8.2E-11,0.561,8.2E-11,0.236,9.6E-11
5.14286,9.99998,4.6143,0.483,8.4E-11,0.483,8.4E-11,0.328,9.65E-11
5,9.99998,4.6143,0.554,8.25E-11,0.554,8.25E-11,0.245,9.6E-11
7,9.64284,4.6143,0.518,8.5E-11,0.518,8.5E-11,0.309,9.7E-11
6.85718,9.64284,4.6143,0.517,8.5E-11,0.517,8.5E-11,0.308,9.7E-11
6.71432,9.64284,4.6143,0.514,8.5E-11,0.514,8.5E-11,0.308,9.7E-11
6.57146,9.64284,4.6143,0.512,8.5E-11,0.512,8.5E-11,0.309,9.7E-11
6.4286,9.64284,4.6143,0.51,8.5E-11,0.51,8.5E-11,0.311,9.65E-11
6.28574,9.64284,4.6143,0.507,8.5E-11,0.507,8.5E-11,0.311,9.65E-11
6.14288,9.64284,4.6143,0.503,8.5E-11,0.503,8.5E-11,0.317,9.65E-11
6.00002,9.64284,4.6143,0.5,8.5E-11,0.5,8.5E-11,0.321,9.65E-11
5.85716,9.64284,4.6143,0.5,8.4E-11,0.5,8.4E-11,0.325,9.65E-11
5.7143,9.64284,4.6143,0.496,8.4E-11,0.496,8.4E-11,0.329,9.65E-11
5.57144,9.64284,4.6143,0.492,8.4E-11,0.492,8.4E-11,0.333,9.65E-11
5.42858,9.64284,4.6143,0.49,8.4E-11,0.49,8.4E-11,0.338,9.65E-11
5.28572,9.64284,4.6143,0.486,8.4E-11,0.486,8.4E-11,0.34,9.65E-11
5.14286,9.64284,4.6143,0.483,8.4E-11,0.483,8.4E-11,0.346,9.65E-11
5,9.64284,4.6143,0.555,8.2E-11,0.555,8.2E-11,0.265,9.6E-11
7,9.2857,4.6143,0.519,8.6E-11,0.519,8.6E-11,0.321,9.7E-11
6.85718,9.2857,4.6143,0.518,8.5E-11,0.518,8.5E-11,0.322,9.7E-11
6.71432,9.2857,4.6143,0.514,8.45E-11,0.514,8.45E-11,0.323,9.7E-11
6.57146,9.2857,4.6143,0.512,8.4E-11,0.512,8.4E-11,0.323,9.7E-11
6.4286,9.2857,4.6143,0.509,8.45E-11,0.509,8.45E-11,0.327,9.7E-11
6.28574,9.2857,4.6143,0.507,8.4E-11,0.507,8.4E-11,0.333,9.65E-11
6.14288,9.2857,4.6143,0.504,8.45E-11,0.504,8.45E-11,0.334,9.65E-11
6.00002,9.2857,4.6143,0.502,8.5E-11,0.502,8.5E-11,0.34,9.65E-11
5.85716,9.2857,4.6143,0.5,8.5E-11,0.5,8.5E-11,0.341,9.65E-11
5.7143,9.2857,4.6143,0.496,8.5E-11,0.496,8.5E-11,0.345,9.65E-11
5.57144,9.2857,4.6143,0.494,8.4E-11,0.494,8.4E-11,0.352,9.65E-11
5.42858,9.2857,4.6143,0.566,8.3E-11,0.566,8.3E-11,0.271,9.6E-11
5.28572,9.2857,4.6143,0.487,8.4E-11,0.488,8.4E-11,0.358,9.65E-11
5.14286,9.2857,4.6143,0.56,8.3E-11,0.56,8.3E-11,0.283,9.6E-11
5,9.2857,4.6143,0.48,8.4E-11,0.48,8.4E-11,0.363,9.65E-11
7,8.92856,4.6143,0.521,8.55E-11,0.521,8.55E-11,0.334,9.7E-11
6.85718,8.92856,4.6143,0.519,8.5E-11,0.519,8.5E-11,0.336,9.7E-11
6.71432,8.92856,4.6143,0.514,8.5E-11,0.514,8.5E-11,0.341,9.7E-11
6.57146,8.92856,4.6143,0.514,8.5E-11,0.514,8.5E-11,0.343,9.7E-11
6.4286,8.92856,4.6143,0.512,8.5E-11,0.512,8.5E-11,0.346,9.7E-11
6.28574,8.92856,4.6143,0.508,8.5E-11,0.508,8.5E-11,0.348,9.7E-11
6.14288,8.92856,4.6143,0.506,8.45E-11,0.506,8.45E-11,0.353,9.7E-11
6.00002,8.92856,4.6143,0.502,8.4E-11,0.502,8.4E-11,0.357,9.65E-11
5.85716,8.92856,4.6143,0.499,8.4E-11,0.499,8.4E-11,0.361,9.65E-11
5.7143,8.92856,4.6143,0.573,8.4E-11,0.573,8.4E-11,0.286,9.65E-11
5.57144,8.92856,4.6143,0.493,8.45E-11,0.493,8.45E-11,0.369,9.65E-11
5.42858,8.92856,4.6143,0.567,8.3E-11,0.568,8.3E-11,0.295,9.65E-11
5.28572,8.92856,4.6143,0.487,8.4E-11,0.487,8.4E-11,0.375,9.65E-11
5.14286,8.92856,4.6143,0.562,8.3E-11,0.562,8.3E-11,0.304,9.6E-11
5,8.92856,4.6143,0.48,8.4E-11,0.48,8.4E-11,0.38,9.65E-11
7,8.57142,4.6143,0.52,8.5E-11,0.52,8.5E-11,0.354,9.8E-11
6.85718,8.57142,4.6143,0.519,8.5E-11,0.519,8.5E-11,0.355,9.8E-11
6.71432,8.57142,4.6143,0.517,8.5E-11,0.517,8.5E-11,0.359,9.7E-11
6.57146,8.57142,4.6143,0.514,8.5E-11,0.514,8.5E-11,0.362,9.7E-11
6.4286,8.57142,4.6143,0.511,8.5E-11,0.511,8.5E-11,0.366,9.7E-11
6.28574,8.57142,4.6143,0.508,8.5E-11,0.508,8.5E-11,0.37,9.7E-11
6.14288,8.57142,4.6143,0.505,8.5E-11,0.505,8.5E-11,0.374,9.7E-11
6.00002,8.57142,4.6143,0.503,8.5E-11,0.503,8.5E-11,0.379,9.7E-11
5.85716,8.57142,4.6143,0.5,8.5E-11,0.5,8.5E-11,0.383,9.7E-11
5.7143,8.57142,4.6143,0.496,8.4E-11,0.496,8.4E-11,0.385,9.65E-11
5.57144,8.57142,4.6143,0.495,8.45E-11,0.495,8.45E-11,0.387,9.65E-11
5.42858,8.57142,4.6143,0.569,8.3E-11,0.569,8.3E-11,0.319,9.65E-11
5.28572,8.57142,4.6143,0.488,8.45E-11,0.488,8.45E-11,0.394,9.65E-11
5.14286,8.57142,4.6143,0.564,8.4E-11,0.564,8.4E-11,0.33,9.6E-11
5,8.57142,4.6143,0.481,8.5E-11,0.481,8.5E-11,0.395,9.65E-11
7,8.21428,4.6143,0.522,8.6E-11,0.522,8.6E-11,0.371,9.8E-11
6.85718,8.21428,4.6143,0.518,8.6E-11,0.518,8.6E-11,0.375,9.8E-11
6.71432,8.21428,4.6143,0.516,8.6E-11,0.516,8.6E-11,0.378,9.8E-11
6.57146,8.21428,4.6143,0.514,8.6E-11,0.514,8.6E-11,0.383,9.75E-11
6.4286,8.21428,4.6143,0.511,8.5E-11,0.511,8.5E-11,0.388,9.7E-11
6.28574,8.21428,4.6143,0.509,8.5E-11,0.509,8.5E-11,0.39,9.7E-11
6.14288,8.21428,4.6143,0.506,8.5E-11,0.506,8.5E-11,0.396,9.7E-11
6.00002,8.21428,4.6143,0.503,8.5E-11,0.503,8.5E-11,0.398,9.7E-11
5.85716,8.21428,4.6143,0.501,8.5E-11,0.501,8.5E-11,0.4,9.7E-11
5.7143,8.21428,4.6143,0.497,8.5E-11,0.497,8.5E-11,0.403,9.65E-11
5.57144,8.21428,4.6143,0.494,8.55E-11,0.494,8.55E-11,0.407,9.65E-11
5.42858,8.21428,4.6143,0.492,8.5E-11,0.492,8.5E-11,0.409,9.65E-11
5.28572,8.21428,4.6143,0.487,8.5E-11,0.487,8.5E-11,0.409,9.65E-11
5.14286,8.21428,4.6143,0.484,8.4E-11,0.484,8.4E-11,0.409,9.65E-11
5,8.21428,4.6143,0.481,8.5E-11,0.481,8.5E-11,0.408,9.65E-11
7,7.85714,4.6143,0.52,8.6E-11,0.52,8.6E-11,0.392,9.8E-11
6.85718,7.85714,4.6143,0.518,8.6E-11,0.518,8.6E-11,0.395,9.8E-11
6.71432,7.85714,4.6143,0.516,8.6E-11,0.516,8.6E-11,0.399,9.8E-11
6.57146,7.85714,4.6143,0.513,8.6E-11,0.513,8.6E-11,0.404,9.8E-11
6.4286,7.85714,4.6143,0.511,8.6E-11,0.511,8.6E-11,0.408,9.8E-11
6.28574,7.85714,4.6143,0.508,8.55E-11,0.508,8.55E-11,0.412,9.75E-11
6.14288,7.85714,4.6143,0.506,8.5E-11,0.506,8.5E-11,0.415,9.7E-11
6.00002,7.85714,4.6143,0.503,8.5E-11,0.503,8.5E-11,0.419,9.7E-11
